Date,Sector,Close
2024-09-13 00:00:00-04:00,FMCG,81.85951232910156
2024-09-16 00:00:00-04:00,FMCG,82.1813735961914
2024-09-17 00:00:00-04:00,FMCG,81.40110778808594
2024-09-18 00:00:00-04:00,FMCG,81.08899688720703
2024-09-19 00:00:00-04:00,FMCG,80.61109161376953
2024-09-20 00:00:00-04:00,FMCG,81.00122833251953
2024-09-23 00:00:00-04:00,FMCG,81.47088623046875
2024-09-24 00:00:00-04:00,FMCG,81.27478790283203
2024-09-25 00:00:00-04:00,FMCG,81.0688705444336
2024-09-26 00:00:00-04:00,FMCG,81.25517272949219
2024-09-27 00:00:00-04:00,FMCG,81.40225219726562
2024-09-30 00:00:00-04:00,FMCG,81.38263702392578
2024-10-01 00:00:00-04:00,FMCG,81.10810089111328
2024-10-02 00:00:00-04:00,FMCG,80.4217300415039
2024-10-03 00:00:00-04:00,FMCG,79.61772155761719
2024-10-04 00:00:00-04:00,FMCG,79.88245391845703
2024-10-07 00:00:00-04:00,FMCG,79.08824920654297
2024-10-08 00:00:00-04:00,FMCG,79.48043823242188
2024-10-09 00:00:00-04:00,FMCG,79.96089935302734
2024-10-10 00:00:00-04:00,FMCG,79.60791778564453
2024-10-11 00:00:00-04:00,FMCG,80.04914855957031
2024-10-14 00:00:00-04:00,FMCG,80.37271881103516
2024-10-15 00:00:00-04:00,FMCG,80.88258361816406
2024-10-16 00:00:00-04:00,FMCG,80.82374572753906
2024-10-17 00:00:00-04:00,FMCG,80.4609603881836
2024-10-18 00:00:00-04:00,FMCG,80.63744354248047
2024-10-21 00:00:00-04:00,FMCG,79.96089935302734
2024-10-22 00:00:00-04:00,FMCG,80.41193389892578
2024-10-23 00:00:00-04:00,FMCG,80.25505065917969
2024-10-24 00:00:00-04:00,FMCG,80.1471939086914
2024-10-25 00:00:00-04:00,FMCG,79.48043823242188
2024-10-28 00:00:00-04:00,FMCG,79.62752532958984
2024-10-29 00:00:00-04:00,FMCG,78.8431167602539
2024-10-30 00:00:00-04:00,FMCG,78.71564483642578
